17:15:33:| module 'fake_trade' has no attribute 'fake_trade'

17:16:18:| module 'fake_trade' has no attribute 'fake_trade'

17:17:54:| module 'fake_trade' has no attribute 'fake_trade'

17:24:41:| Cannot find any entity corresponding to "1548802426"

17:27:55:| ord() expected string of length 1, but Message found

17:29:51:| ord() expected string of length 1, but Message found

17:30:11:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:32:00:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:32:53:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:34:39:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:46:47:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:54:36:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

17:57:16:| Cannot use <telethon.tl.types.MessageMediaWebPage object at 0x0000029D2C4D5DC0> as file

18:39:01:| The provided media object is invalid or the current account may not be able to send it (such as games as users) (caused by SendMediaRequest)

18:43:22:| RPCError 400: CHAT_FORWARDS_RESTRICTED (caused by SendMediaRequest)

18:43:41:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

18:45:16:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

18:47:34:| RPCError 400: CHAT_FORWARDS_RESTRICTED (caused by SendMediaRequest)

18:51:02:| RPCError 400: CHAT_FORWARDS_RESTRICTED (caused by SendMediaRequest)

18:56:27:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

18:56:59:| RPCError 400: CHAT_FORWARDS_RESTRICTED (caused by SendMediaRequest)

18:57:03:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

18:59:26:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

19:00:26:| [Errno 2] No such file or directory: 'trade_results/message_count/New Telegram Groups_count.txt'

19:08:51:| RPCError 400: CHAT_FORWARDS_RESTRICTED (caused by SendMediaRequest)

