0.98 | NEARUSDT | 0.0 Hours
0.44 | NEARUSDT | 0.0 Hours
0.46 | NEARUSDT | 0.01 Hours
0.46 | NEARUSDT | 0.02 Hours
0.46 | NEARUSDT | 0.02 Hours
0.5 | NEARUSDT | 0.02 Hours
0.45 | NEARUSDT | 0.01 Hours
0.46 | NEARUSDT | 0.01 Hours
0.4 | NEARUSDT | 0.01 Hours
0.39 | NEARUSDT | 0.01 Hours
0.4 | NEARUSDT | 0.0 Hours
0.41 | NEARUSDT | 0.01 Hours
0.41 | NEARUSDT | 0.01 Hours
0.41 | NEARUSDT | 0.01 Hours
0.41 | NEARUSDT | 0.0 Hours
0.41 | NEARUSDT | 0.01 Hours
0.42 | NEARUSDT | 0.01 Hours
0.4 | NEARUSDT | 0.01 Hours
0.38 | NEARUSDT | 0.01 Hours
0.34 | NEARUSDT | 0.01 Hours
0.35 | NEARUSDT | 0.01 Hours
0.32 | NEARUSDT | 0.0 Hours
0.32 | NEARUSDT | 0.01 Hours
0.3 | NEARUSDT | 0.01 Hours
0.58 | NEARUSDT | 0.01 Hours
0.58 | NEARUSDT | 0.01 Hours
0.65 | NEARUSDT | 0.0 Hours
0.6 | NEARUSDT | 0.01 Hours
0.6 | NEARUSDT | 0.01 Hours
0.8 | NEARUSDT | 0.01 Hours
