0.96 | NEARUSDT | 0.0 Hours
-0.08 | NEARUSDT | 0.02 Hours
-0.08 | NEARUSDT | 0.02 Hours
-0.01 | NEARUSDT | 0.02 Hours
-0.1 | NEARUSDT | 0.01 Hours
-0.08 | NEARUSDT | 0.01 Hours
-0.21 | NEARUSDT | 0.01 Hours
-0.22 | NEARUSDT | 0.01 Hours
-0.2 | NEARUSDT | 0.0 Hours
-0.17 | NEARUSDT | 0.01 Hours
-0.19 | NEARUSDT | 0.01 Hours
-0.18 | NEARUSDT | 0.01 Hours
-0.18 | NEARUSDT | 0.01 Hours
-0.17 | NEARUSDT | 0.02 Hours
-0.18 | NEARUSDT | 0.01 Hours
-0.17 | NEARUSDT | 0.01 Hours
-0.2 | NEARUSDT | 0.01 Hours
-0.23 | NEARUSDT | 0.01 Hours
-0.32 | NEARUSDT | 0.01 Hours
-0.29 | NEARUSDT | 0.01 Hours
-0.37 | NEARUSDT | 0.0 Hours
-0.35 | NEARUSDT | 0.01 Hours
-0.39 | NEARUSDT | 0.01 Hours
0.6 | NEARUSDT | 0.01 Hours
